ent,sex,year,mes,saltrim
Nuevo León,Hombre,2006,12,41125.973
Oaxaca,Hombre,2006,12,28892.668
Puebla,Hombre,2006,12,30506.822
Querétaro,Hombre,2006,12,39275.59
Quintana Roo,Hombre,2006,12,41050.977
San Luis Potosí,Hombre,2006,12,31340.881
Sinaloa,Hombre,2006,12,39848.539
Sonora,Hombre,2006,12,40104.078
Tabasco,Hombre,2006,12,39577.859
Tamaulipas,Hombre,2006,12,38075.066
Tlaxcala,Hombre,2006,12,21967.717
Veracruz de Ignacio de la Llave,Hombre,2006,12,31203.828
Yucatán,Hombre,2006,12,26698.467
Zacatecas,Hombre,2006,12,31480.877
Aguascalientes,Hombre,2007,3,31463.387
Baja California,Hombre,2007,3,40915.102
Baja California Sur,Hombre,2007,3,41855.484
Campeche,Hombre,2007,3,28283.414
Coahuila de Zaragoza,Hombre,2007,3,36004.41
Colima,Hombre,2007,3,35517.316
Chiapas,Hombre,2007,3,24774.326
Chihuahua,Hombre,2007,3,35753.043
Ciudad de México,Hombre,2007,3,41643.199
Durango,Hombre,2007,3,27846.031
Guanajuato,Hombre,2007,3,33378.375
Guerrero,Hombre,2007,3,28003.764
Hidalgo,Hombre,2007,3,33425.016
Jalisco,Hombre,2007,3,38579.785
México,Hombre,2007,3,30006.865
Michoacán de Ocampo,Hombre,2007,3,33079.363
Morelos,Hombre,2007,3,28413.123
Nayarit,Hombre,2007,3,33311.234
Nuevo León,Hombre,2007,3,42479.336
Oaxaca,Hombre,2007,3,29297.33
Puebla,Hombre,2007,3,29446.773
Querétaro,Hombre,2007,3,35837.621
Quintana Roo,Hombre,2007,3,41611.488
San Luis Potosí,Hombre,2007,3,30676.447
Sinaloa,Hombre,2007,3,39326.762
Sonora,Hombre,2007,3,38183.969
Tabasco,Hombre,2007,3,37356.902
Tamaulipas,Hombre,2007,3,36323.316
Tlaxcala,Hombre,2007,3,23204.098
Veracruz de Ignacio de la Llave,Hombre,2007,3,31334.229
Yucatán,Hombre,2007,3,29335.148
Zacatecas,Hombre,2007,3,31183.264
Aguascalientes,Hombre,2007,6,32041.248
Baja California,Hombre,2007,6,43073.539
Baja California Sur,Hombre,2007,6,44650.887
Campeche,Hombre,2007,6,29260.768
Coahuila de Zaragoza,Hombre,2007,6,35464.695
Colima,Hombre,2007,6,36559.313
Chiapas,Hombre,2007,6,25610.951
Chihuahua,Hombre,2007,6,36132.715
Ciudad de México,Hombre,2007,6,41394.402
Durango,Hombre,2007,6,29527.328
Guanajuato,Hombre,2007,6,36312.766
Guerrero,Hombre,2007,6,29166.965
Hidalgo,Hombre,2007,6,35148.887
Jalisco,Hombre,2007,6,37722.793
México,Hombre,2007,6,32369.66
Michoacán de Ocampo,Hombre,2007,6,33679.777
Morelos,Hombre,2007,6,30053.707
Nayarit,Hombre,2007,6,32951.691
Nuevo León,Hombre,2007,6,42313.793
Oaxaca,Hombre,2007,6,28682.033
Puebla,Hombre,2007,6,30040.063
Querétaro,Hombre,2007,6,38816.422
Quintana Roo,Hombre,2007,6,41885.016
San Luis Potosí,Hombre,2007,6,31294.244
Sinaloa,Hombre,2007,6,40622.406
Sonora,Hombre,2007,6,39859.348
