genero,ll_g,ul_g,genero_mco,ll_g_mco,ul_g_mco,n,year
-0.12540061,-0.133686354,-0.117114866,-0.123599921,-0.132125827,-0.115074016,55,2018
-0.127304916,-0.135388981,-0.119220851,-0.123599921,-0.132125827,-0.115074016,56,2018
-0.127581477,-0.135694354,-0.119468599,-0.123599921,-0.132125827,-0.115074016,57,2018
-0.128793906,-0.137117508,-0.120470304,-0.123599921,-0.132125827,-0.115074016,58,2018
-0.128050277,-0.1365388,-0.119561753,-0.123599921,-0.132125827,-0.115074016,59,2018
-0.127273509,-0.136088118,-0.118458901,-0.123599921,-0.132125827,-0.115074016,60,2018
-0.129021042,-0.13791659,-0.120125495,-0.123599921,-0.132125827,-0.115074016,61,2018
-0.126482646,-0.135207343,-0.11775795,-0.123599921,-0.132125827,-0.115074016,62,2018
-0.126624711,-0.134870785,-0.118378636,-0.123599921,-0.132125827,-0.115074016,63,2018
-0.127568145,-0.135748549,-0.11938774,-0.123599921,-0.132125827,-0.115074016,64,2018
-0.127304993,-0.135742022,-0.118867964,-0.123599921,-0.132125827,-0.115074016,65,2018
-0.128811225,-0.13772015,-0.119902301,-0.123599921,-0.132125827,-0.115074016,66,2018
-0.128912302,-0.137991029,-0.119833574,-0.123599921,-0.132125827,-0.115074016,67,2018
-0.127353809,-0.136293217,-0.118414401,-0.123599921,-0.132125827,-0.115074016,68,2018
-0.127497372,-0.136532148,-0.118462595,-0.123599921,-0.132125827,-0.115074016,69,2018
-0.127600853,-0.1364546,-0.118747106,-0.123599921,-0.132125827,-0.115074016,70,2018
-0.127863434,-0.136717196,-0.119009671,-0.123599921,-0.132125827,-0.115074016,71,2018
-0.129328362,-0.138363388,-0.120293337,-0.123599921,-0.132125827,-0.115074016,72,2018
-0.130045937,-0.139287727,-0.120804146,-0.123599921,-0.132125827,-0.115074016,73,2018
-0.13027179,-0.139447883,-0.121095696,-0.123599921,-0.132125827,-0.115074016,74,2018
-0.131444132,-0.141052184,-0.12183608,-0.123599921,-0.132125827,-0.115074016,75,2018
-0.130044228,-0.140241705,-0.119846751,-0.123599921,-0.132125827,-0.115074016,76,2018
-0.129544174,-0.140060705,-0.119027643,-0.123599921,-0.132125827,-0.115074016,77,2018
-0.1290607,-0.139435475,-0.118685925,-0.123599921,-0.132125827,-0.115074016,78,2018
-0.129732865,-0.14041332,-0.119052411,-0.123599921,-0.132125827,-0.115074016,79,2018
-0.128379742,-0.139381602,-0.117377881,-0.123599921,-0.132125827,-0.115074016,80,2018
-0.127939399,-0.138842807,-0.117035991,-0.123599921,-0.132125827,-0.115074016,81,2018
-0.128874448,-0.14002276,-0.117726135,-0.123599921,-0.132125827,-0.115074016,82,2018
-0.130905078,-0.142793391,-0.119016765,-0.123599921,-0.132125827,-0.115074016,83,2018
-0.128669339,-0.140511909,-0.116826769,-0.123599921,-0.132125827,-0.115074016,84,2018
-0.126507112,-0.13834072,-0.114673503,-0.123599921,-0.132125827,-0.115074016,85,2018
-0.128700575,-0.140196987,-0.117204164,-0.123599921,-0.132125827,-0.115074016,86,2018
-0.130811985,-0.142928502,-0.118695468,-0.123599921,-0.132125827,-0.115074016,87,2018
-0.134583633,-0.147333095,-0.121834172,-0.123599921,-0.132125827,-0.115074016,88,2018
-0.137978264,-0.15227176,-0.123684768,-0.123599921,-0.132125827,-0.115074016,89,2018
-0.13687877,-0.151660015,-0.122097526,-0.123599921,-0.132125827,-0.115074016,90,2018
-0.136493816,-0.152007422,-0.120980211,-0.123599921,-0.132125827,-0.115074016,91,2018
-0.134433433,-0.150250993,-0.118615873,-0.123599921,-0.132125827,-0.115074016,92,2018
-0.127135216,-0.144953814,-0.109316618,-0.123599921,-0.132125827,-0.115074016,93,2018
-0.127436402,-0.144918244,-0.10995456,-0.123599921,-0.132125827,-0.115074016,94,2018
-0.129566156,-0.14786786,-0.111264452,-0.123599921,-0.132125827,-0.115074016,95,2018
-0.136477204,-0.158139997,-0.114814412,-0.123599921,-0.132125827,-0.115074016,96,2018
-0.136619715,-0.162345102,-0.110894328,-0.123599921,-0.132125827,-0.115074016,97,2018
-0.149013847,-0.180402946,-0.117624748,-0.123599921,-0.132125827,-0.115074016,98,2018
-0.131484907,-0.177597072,-0.085372741,-0.123599921,-0.132125827,-0.115074016,99,2018
-0.105302967,-0.164294674,-0.04631126,-0.135519137,-0.143873498,-0.127164776,1,2019
-0.102771688,-0.150308526,-0.055234849,-0.135519137,-0.143873498,-0.127164776,2,2019
-0.124587678,-0.1583501,-0.090825257,-0.135519137,-0.143873498,-0.127164776,3,2019
-0.158137688,-0.184306053,-0.131969322,-0.135519137,-0.143873498,-0.127164776,4,2019
-0.156316322,-0.182366252,-0.130266393,-0.135519137,-0.143873498,-0.127164776,5,2019
-0.170148931,-0.18904626,-0.151251603,-0.135519137,-0.143873498,-0.127164776,6,2019
-0.162430192,-0.181533417,-0.143326967,-0.135519137,-0.143873498,-0.127164776,7,2019
-0.164902303,-0.182548831,-0.147255775,-0.135519137,-0.143873498,-0.127164776,8,2019
-0.161604742,-0.178463151,-0.144746333,-0.135519137,-0.143873498,-0.127164776,9,2019
-0.156496472,-0.17357739,-0.139415554,-0.135519137,-0.143873498,-0.127164776,10,2019
-0.151514305,-0.165922283,-0.137106327,-0.135519137,-0.143873498,-0.127164776,11,2019
-0.151470285,-0.165990302,-0.136950267,-0.135519137,-0.143873498,-0.127164776,12,2019
-0.149133874,-0.162116596,-0.136151152,-0.135519137,-0.143873498,-0.127164776,13,2019
-0.145562059,-0.158956126,-0.132167992,-0.135519137,-0.143873498,-0.127164776,14,2019
-0.144443113,-0.157560087,-0.131326139,-0.135519137,-0.143873498,-0.127164776,15,2019
-0.145286298,-0.156582863,-0.133989732,-0.135519137,-0.143873498,-0.127164776,16,2019
-0.146740854,-0.158035498,-0.135446209,-0.135519137,-0.143873498,-0.127164776,17,2019
-0.143508736,-0.154720564,-0.132296907,-0.135519137,-0.143873498,-0.127164776,18,2019
-0.143253382,-0.15455172,-0.131955045,-0.135519137,-0.143873498,-0.127164776,19,2019
-0.141973338,-0.153409286,-0.130537389,-0.135519137,-0.143873498,-0.127164776,20,2019
-0.141092434,-0.151744846,-0.130440023,-0.135519137,-0.143873498,-0.127164776,21,2019
-0.141224011,-0.151227396,-0.131220627,-0.135519137,-0.143873498,-0.127164776,22,2019
-0.141062413,-0.151229781,-0.130895045,-0.135519137,-0.143873498,-0.127164776,23,2019
-0.13978444,-0.150178915,-0.129389964,-0.135519137,-0.143873498,-0.127164776,24,2019
-0.140307819,-0.150418423,-0.130197216,-0.135519137,-0.143873498,-0.127164776,25,2019
-0.139641407,-0.149664122,-0.129618692,-0.135519137,-0.143873498,-0.127164776,26,2019
-0.137262363,-0.146899948,-0.127624777,-0.135519137,-0.143873498,-0.127164776,27,2019
-0.134604937,-0.144113871,-0.125096003,-0.135519137,-0.143873498,-0.127164776,28,2019
-0.133986671,-0.143452548,-0.124520793,-0.135519137,-0.143873498,-0.127164776,29,2019
-0.132806439,-0.142546772,-0.123066105,-0.135519137,-0.143873498,-0.127164776,30,2019
-0.131826908,-0.141031704,-0.122622112,-0.135519137,-0.143873498,-0.127164776,31,2019
-0.131818031,-0.140771523,-0.122864539,-0.135519137,-0.143873498,-0.127164776,32,2019
-0.132783937,-0.141656229,-0.123911644,-0.135519137,-0.143873498,-0.127164776,33,2019
-0.133169279,-0.142546395,-0.123792163,-0.135519137,-0.143873498,-0.127164776,34,2019
-0.130999453,-0.14028133,-0.121717576,-0.135519137,-0.143873498,-0.127164776,35,2019
-0.132637531,-0.141187398,-0.124087664,-0.135519137,-0.143873498,-0.127164776,36,2019
-0.133428274,-0.141575734,-0.125280815,-0.135519137,-0.143873498,-0.127164776,37,2019
-0.134405336,-0.142320632,-0.12649004,-0.135519137,-0.143873498,-0.127164776,38,2019
-0.134776658,-0.142864908,-0.126688409,-0.135519137,-0.143873498,-0.127164776,39,2019
-0.132671533,-0.14093916,-0.124403907,-0.135519137,-0.143873498,-0.127164776,40,2019
-0.130913686,-0.139695638,-0.122131733,-0.135519137,-0.143873498,-0.127164776,41,2019
-0.129517016,-0.138003717,-0.121030314,-0.135519137,-0.143873498,-0.127164776,42,2019
-0.129940057,-0.138300996,-0.121579117,-0.135519137,-0.143873498,-0.127164776,43,2019
-0.129898027,-0.138197839,-0.121598215,-0.135519137,-0.143873498,-0.127164776,44,2019
-0.128614284,-0.137307657,-0.119920911,-0.135519137,-0.143873498,-0.127164776,45,2019
-0.126305422,-0.135231649,-0.117379194,-0.135519137,-0.143873498,-0.127164776,46,2019
-0.125520743,-0.134152667,-0.11688882,-0.135519137,-0.143873498,-0.127164776,47,2019
-0.126339038,-0.134390066,-0.118288009,-0.135519137,-0.143873498,-0.127164776,48,2019
-0.126650668,-0.134317159,-0.118984176,-0.135519137,-0.143873498,-0.127164776,49,2019
-0.127139787,-0.134568578,-0.119710997,-0.135519137,-0.143873498,-0.127164776,50,2019
-0.129239098,-0.136754413,-0.121723782,-0.135519137,-0.143873498,-0.127164776,51,2019
-0.130370634,-0.138117372,-0.122623895,-0.135519137,-0.143873498,-0.127164776,52,2019
-0.130259916,-0.138410815,-0.122109017,-0.135519137,-0.143873498,-0.127164776,53,2019
-0.129510354,-0.137829571,-0.121191136,-0.135519137,-0.143873498,-0.127164776,54,2019
-0.130436957,-0.138690239,-0.122183675,-0.135519137,-0.143873498,-0.127164776,55,2019
-0.130075994,-0.138216333,-0.121935656,-0.135519137,-0.143873498,-0.127164776,56,2019
-0.130437359,-0.138759842,-0.122114876,-0.135519137,-0.143873498,-0.127164776,57,2019
-0.128658336,-0.137075139,-0.120241533,-0.135519137,-0.143873498,-0.127164776,58,2019
-0.128839835,-0.137146996,-0.120532674,-0.135519137,-0.143873498,-0.127164776,59,2019
-0.12877545,-0.136895446,-0.120655453,-0.135519137,-0.143873498,-0.127164776,60,2019
-0.128928074,-0.136962151,-0.120893996,-0.135519137,-0.143873498,-0.127164776,61,2019
-0.12832722,-0.136527802,-0.120126638,-0.135519137,-0.143873498,-0.127164776,62,2019
-0.128206655,-0.136575794,-0.119837516,-0.135519137,-0.143873498,-0.127164776,63,2019
-0.127367828,-0.135787457,-0.1189482,-0.135519137,-0.143873498,-0.127164776,64,2019
-0.128550627,-0.136774931,-0.120326323,-0.135519137,-0.143873498,-0.127164776,65,2019
-0.13003384,-0.138514214,-0.121553465,-0.135519137,-0.143873498,-0.127164776,66,2019
-0.129264446,-0.137798843,-0.120730049,-0.135519137,-0.143873498,-0.127164776,67,2019
-0.129576036,-0.138293546,-0.120858526,-0.135519137,-0.143873498,-0.127164776,68,2019
-0.131498102,-0.140187112,-0.122809091,-0.135519137,-0.143873498,-0.127164776,69,2019
-0.131681519,-0.140779115,-0.122583923,-0.135519137,-0.143873498,-0.127164776,70,2019
-0.132890536,-0.141943986,-0.123837085,-0.135519137,-0.143873498,-0.127164776,71,2019
-0.134021003,-0.143268613,-0.124773393,-0.135519137,-0.143873498,-0.127164776,72,2019
-0.132594381,-0.141677327,-0.123511435,-0.135519137,-0.143873498,-0.127164776,73,2019
-0.133876884,-0.14304252,-0.124711247,-0.135519137,-0.143873498,-0.127164776,74,2019
-0.133641258,-0.14304065,-0.124241865,-0.135519137,-0.143873498,-0.127164776,75,2019
-0.134392351,-0.144362189,-0.124422513,-0.135519137,-0.143873498,-0.127164776,76,2019
-0.134450546,-0.144593767,-0.124307325,-0.135519137,-0.143873498,-0.127164776,77,2019
-0.131535053,-0.141183172,-0.121886935,-0.135519137,-0.143873498,-0.127164776,78,2019
-0.132882798,-0.142274631,-0.123490964,-0.135519137,-0.143873498,-0.127164776,79,2019
-0.135966001,-0.145491515,-0.126440487,-0.135519137,-0.143873498,-0.127164776,80,2019
-0.135918463,-0.14621417,-0.125622755,-0.135519137,-0.143873498,-0.127164776,81,2019
-0.13645623,-0.147503951,-0.125408508,-0.135519137,-0.143873498,-0.127164776,82,2019
-0.133000303,-0.144132,-0.121868606,-0.135519137,-0.143873498,-0.127164776,83,2019
-0.131621881,-0.142978291,-0.120265471,-0.135519137,-0.143873498,-0.127164776,84,2019
-0.132858007,-0.144136263,-0.121579751,-0.135519137,-0.143873498,-0.127164776,85,2019
-0.132783856,-0.144446528,-0.121121185,-0.135519137,-0.143873498,-0.127164776,86,2019
-0.131925156,-0.144441489,-0.119408823,-0.135519137,-0.143873498,-0.127164776,87,2019
-0.132488805,-0.146185446,-0.118792164,-0.135519137,-0.143873498,-0.127164776,88,2019
-0.13018913,-0.143738858,-0.116639403,-0.135519137,-0.143873498,-0.127164776,89,2019
-0.130893605,-0.143854427,-0.117932784,-0.135519137,-0.143873498,-0.127164776,90,2019
-0.129528838,-0.143815387,-0.115242289,-0.135519137,-0.143873498,-0.127164776,91,2019
-0.13063738,-0.146172808,-0.115101951,-0.135519137,-0.143873498,-0.127164776,92,2019
-0.130308044,-0.146053289,-0.114562798,-0.135519137,-0.143873498,-0.127164776,93,2019
-0.127770554,-0.1462199,-0.109321208,-0.135519137,-0.143873498,-0.127164776,94,2019
-0.134651953,-0.15351386,-0.115790046,-0.135519137,-0.143873498,-0.127164776,95,2019
-0.131224182,-0.153314382,-0.109133982,-0.135519137,-0.143873498,-0.127164776,96,2019
-0.119298139,-0.142780309,-0.095815969,-0.135519137,-0.143873498,-0.127164776,97,2019
-0.123282403,-0.156524467,-0.090040338,-0.135519137,-0.143873498,-0.127164776,98,2019
-0.121970691,-0.170947731,-0.07299365,-0.135519137,-0.143873498,-0.127164776,99,2019
-0.079889661,-0.177864911,0.01808559,-0.117787759,-0.130349899,-0.105225619,1,2020
-0.125886863,-0.173786002,-0.077987723,-0.117787759,-0.130349899,-0.105225619,2,2020
-0.117965493,-0.173287128,-0.062643858,-0.117787759,-0.130349899,-0.105225619,3,2020
-0.127935813,-0.161369055,-0.094502572,-0.117787759,-0.130349899,-0.105225619,4,2020
-0.130483557,-0.170220473,-0.09074664,-0.117787759,-0.130349899,-0.105225619,5,2020
-0.135472055,-0.168683144,-0.102260966,-0.117787759,-0.130349899,-0.105225619,6,2020
-0.128788354,-0.154359197,-0.103217512,-0.117787759,-0.130349899,-0.105225619,7,2020
-0.134125687,-0.162162193,-0.10608918,-0.117787759,-0.130349899,-0.105225619,8,2020
-0.13086009,-0.157591086,-0.104129095,-0.117787759,-0.130349899,-0.105225619,9,2020
-0.129693771,-0.15462169,-0.104765852,-0.117787759,-0.130349899,-0.105225619,10,2020
-0.12514946,-0.148919236,-0.101379683,-0.117787759,-0.130349899,-0.105225619,11,2020
-0.121766843,-0.143609341,-0.099924346,-0.117787759,-0.130349899,-0.105225619,12,2020
-0.121289755,-0.139796864,-0.102782645,-0.117787759,-0.130349899,-0.105225619,13,2020
-0.118710093,-0.141100632,-0.096319555,-0.117787759,-0.130349899,-0.105225619,14,2020
-0.116364861,-0.136677143,-0.096052579,-0.117787759,-0.130349899,-0.105225619,15,2020
-0.117204541,-0.13631394,-0.098095143,-0.117787759,-0.130349899,-0.105225619,16,2020
-0.11400928,-0.132154143,-0.095864416,-0.117787759,-0.130349899,-0.105225619,17,2020
-0.112199237,-0.129875209,-0.094523265,-0.117787759,-0.130349899,-0.105225619,18,2020
-0.110131054,-0.127735164,-0.092526943,-0.117787759,-0.130349899,-0.105225619,19,2020
-0.111695718,-0.127751934,-0.095639502,-0.117787759,-0.130349899,-0.105225619,20,2020
-0.115917605,-0.131323275,-0.100511935,-0.117787759,-0.130349899,-0.105225619,21,2020
-0.115330235,-0.131314536,-0.099345935,-0.117787759,-0.130349899,-0.105225619,22,2020
-0.114723318,-0.131033759,-0.098412878,-0.117787759,-0.130349899,-0.105225619,23,2020
-0.115219599,-0.13184242,-0.098596778,-0.117787759,-0.130349899,-0.105225619,24,2020
-0.11471811,-0.130427249,-0.099008971,-0.117787759,-0.130349899,-0.105225619,25,2020
-0.114850836,-0.129750268,-0.099951404,-0.117787759,-0.130349899,-0.105225619,26,2020
-0.113009643,-0.127754094,-0.098265193,-0.117787759,-0.130349899,-0.105225619,27,2020
-0.113383857,-0.128461165,-0.098306548,-0.117787759,-0.130349899,-0.105225619,28,2020
-0.113126501,-0.127750459,-0.098502543,-0.117787759,-0.130349899,-0.105225619,29,2020
-0.111369166,-0.125777617,-0.096960715,-0.117787759,-0.130349899,-0.105225619,30,2020
-0.112542887,-0.126915663,-0.098170111,-0.117787759,-0.130349899,-0.105225619,31,2020
-0.11315975,-0.127505963,-0.098813537,-0.117787759,-0.130349899,-0.105225619,32,2020
-0.11316748,-0.127121838,-0.099213121,-0.117787759,-0.130349899,-0.105225619,33,2020
-0.115974375,-0.129911695,-0.102037056,-0.117787759,-0.130349899,-0.105225619,34,2020
-0.11642275,-0.129714499,-0.103131001,-0.117787759,-0.130349899,-0.105225619,35,2020
-0.115905986,-0.129120336,-0.102691636,-0.117787759,-0.130349899,-0.105225619,36,2020
-0.117928003,-0.130062382,-0.105793624,-0.117787759,-0.130349899,-0.105225619,37,2020
-0.116761935,-0.129081594,-0.104442275,-0.117787759,-0.130349899,-0.105225619,38,2020
-0.117705369,-0.130051188,-0.10535955,-0.117787759,-0.130349899,-0.105225619,39,2020
-0.117113228,-0.130289116,-0.103937339,-0.117787759,-0.130349899,-0.105225619,40,2020
-0.115247666,-0.128909427,-0.101585905,-0.117787759,-0.130349899,-0.105225619,41,2020
-0.11463004,-0.127789489,-0.101470592,-0.117787759,-0.130349899,-0.105225619,42,2020
-0.112952301,-0.124734054,-0.101170548,-0.117787759,-0.130349899,-0.105225619,43,2020
-0.115482515,-0.126770549,-0.104194481,-0.117787759,-0.130349899,-0.105225619,44,2020
-0.118533868,-0.12955142,-0.107516316,-0.117787759,-0.130349899,-0.105225619,45,2020
-0.120528863,-0.132370557,-0.108687168,-0.117787759,-0.130349899,-0.105225619,46,2020
-0.121431805,-0.133645956,-0.109217654,-0.117787759,-0.130349899,-0.105225619,47,2020
-0.120574531,-0.133001195,-0.108147867,-0.117787759,-0.130349899,-0.105225619,48,2020
-0.119711757,-0.132055502,-0.107368011,-0.117787759,-0.130349899,-0.105225619,49,2020
-0.119784924,-0.132068263,-0.107501586,-0.117787759,-0.130349899,-0.105225619,50,2020
-0.120945206,-0.133121047,-0.108769366,-0.117787759,-0.130349899,-0.105225619,51,2020
-0.11915312,-0.131594011,-0.106712229,-0.117787759,-0.130349899,-0.105225619,52,2020
-0.118080554,-0.130384878,-0.10577623,-0.117787759,-0.130349899,-0.105225619,53,2020
-0.119126002,-0.131096979,-0.107155026,-0.117787759,-0.130349899,-0.105225619,54,2020
-0.118617503,-0.130511022,-0.106723984,-0.117787759,-0.130349899,-0.105225619,55,2020
-0.118672381,-0.130612429,-0.106732333,-0.117787759,-0.130349899,-0.105225619,56,2020
-0.121073704,-0.133015977,-0.109131431,-0.117787759,-0.130349899,-0.105225619,57,2020
-0.121647309,-0.133657548,-0.10963707,-0.117787759,-0.130349899,-0.105225619,58,2020
-0.12313689,-0.135165122,-0.111108658,-0.117787759,-0.130349899,-0.105225619,59,2020
-0.124416088,-0.136366431,-0.112465744,-0.117787759,-0.130349899,-0.105225619,60,2020
-0.127582708,-0.140203205,-0.11496221,-0.117787759,-0.130349899,-0.105225619,61,2020
-0.125044471,-0.137479054,-0.112609888,-0.117787759,-0.130349899,-0.105225619,62,2020
